Sku,Count
30S-000206-0702,81
30S-000206-1202,6
30S-000206-2706,97
30S-000207-0101,730
30S-000207-0101p,550
30S-000207-0106,0
30S-000207-0106p,0
30S-000207-0406,11
30S-000207-0702,689
30S-000207-0707,776
30S-000207-1202,7
30S-000207-2706,144
30S-000207-2904,0
30S-000208-0107,0
30S-000208-0404,0
30S-000208-0702,4
30S-000208-0707,0
30S-000208-2706,142
30S-000209-0404,0
30S-000209-0707,0
30S-000209-1202,0
30S-000210-0107,0
30S-000210-0707,0
30S-000210-2706,0
30S-000211-0106,0
30S-000211-0107,0
30S-000211-0207,0
30S-000211-0404,27
30S-000211-1304,0
30S-000211-2104,0
30S-000212-0107,0
30S-000212-0702,0
30S-000212-2706,0
30S-000213-0102,275
30S-000213-0107,0
30S-000213-0406,0
30S-000213-1306,0
30S-000213-1402,179
30S-000214-0107,0
30S-000214-0406,0
30S-000214-1306,0
30S-000215-0107,0
30S-000215-1306,0
30S-000215-2106,0
30S-000216-0107,0
30S-000216-1306,0
30S-000216-2106,0
30S-000217-0107,0
30S-000217-0207,0
30S-000217-0404,9
30S-000217-1306,0
30S-000217-1404,0
30S-000218-0107,0
30S-000218-0207,0
30S-000218-1306,0
30S-000219-0102,0
30S-000219-0107,0
30S-000219-0207,0
30S-000219-1304,0
30S-000219-1406,0
30S-000220-0102,51
30S-000220-0107,224
30S-000220-0207,0
30S-000220-1304,0
30S-000220-2106,308
30S-000221-0102,0
30S-000221-0107,0
30S-000221-0207,0
30S-000221-1302,0
30S-000221-1304,0
30S-000222-0107,0
30S-000222-0207,0
30S-000222-1304,0
30S-000223-0102,432
30S-000223-0107,296
30S-000223-0207,0
30S-000223-0404,0
30S-000223-1306,0
30S-000223-2106,65
30S-000224-0101,0
30S-000224-0107,0
30S-000224-2306,318
30S-000224-2311,0
30S-000224-2904,107
30S-000225-0101,0
30S-000225-0504,14
30S-000225-2302,10
30S-000225-2306,8
30S-000225-2904,2
30S-000225-2909,0
30S-000226-0101,0
30S-000226-0504,199
30S-000226-0707,131
30S-000226-2302,118
30S-000226-2306,2
30S-000226-2904,170
30S-000227-0107,14
30S-000227-0404,2
30S-000228-0107,74
30S-000229-0101,0
30S-000229-0504,5
30S-000229-0702,0
30S-000229-2904,10
30S-000229-2906,10
30S-000230-0107,0
30S-000230-1207,0
30S-000230-2904,0
30S-000230-2906,0
30S-000231-0101,0
30S-000231-0304,0
30S-000231-0404,0
30S-000231-1306,0
30S-000232-0101,13
30S-000232-0304,1
30S-000232-0404,0
30S-000232-1306,0
30S-000233-0101,260
30S-000233-0402,36
30S-000233-0404,673
30S-000233-1306,0
30S-000233-2104,92
30S-000234-0102,339
30S-000234-0106,519
30S-000234-1302,457
30S-000234-1306,0
30S-000234-2106,723
30S-000235-0102,0
30S-000235-0106,0
30S-000235-0406,0
30S-000235-1302,0
30S-000235-1306,0
30S-000236-0101,631
30S-000236-0404,159
30S-000236-1306,0
30S-000236-1406,0
30S-000236-2102,305
30S-000237-0101,765
30S-000237-0202P,0
30S-000237-0404,296
30S-000237-0707P,221
30S-000237-1306,0
30S-000237-1402,541
30S-000237-2106,662
30S-000238-0101,0
30S-000238-2604,0
30S-000239-0101,0
30S-000239-0404,0
30S-000239-0909,22
30S-000239-2604,0
30S-000240-0101,0
30S-000240-0402,0
30S-000240-2404,44
30S-000241-0402,0
30S-000241-0504,0
30S-000241-1201,0
30S-000241-2906,0
30S-000242-2302,124
30S-000242-2901,179
30S-000242-2904,0
30S-000243-0102,0
30S-000243-0510,0
30S-000243-1210,5
30S-000243-2304,2
30S-000244-0102,11
30S-000244-0107,12
30S-000244-2304,24
30S-000244-2904,0
30S-000245-0101,0
30S-000245-0404,3
30S-000245-1304,0
30S-000245-2604,0
30S-000246-0107,0
30S-000246-0404,0
30S-000246-1207,0
30S-000246-2906,1
30S-000247-0107,355
30S-000247-0404,155
30S-000247-0406,80
30S-000247-1202,0
30S-000247-1207,124
30S-000247-2906,0
30S-000248-0101,93
30S-000248-0101p,149
30S-000248-0106,0
